date,code,name,open,close,high,low,volume,amount,pct_chg,index_return
2023-10-23,000300,沪深300,3500.199,3474.244,3505.347,3450.646,9656165200,,-1.0352963562524686,-0.01040692827605779
2023-10-24,000300,沪深300,3481.764,3487.13,3495.004,3453.102,11554728900,,0.370900834829091,0.0037021469376131433
2023-10-25,000300,沪深300,3524.297,3504.458,3531.831,3500.915,12800961700,,0.4969129341320766,0.004956823965947445
2023-10-26,000300,沪深300,3484.781,3514.145,3515.572,3478.05,10514356600,,0.27641934929738543,0.0027603801357623434
2023-10-27,000300,沪深300,3501.171,3562.385,3576.586,3494.549,12022510800,,1.3727378921473132,0.013634011941032448
2023-10-30,000300,沪深300,3554.106,3583.772,3592.719,3554.024,14401042600,,0.6003562220254111,0.005985612645685893
2023-10-31,000300,沪深300,3581.676,3572.506,3581.676,3554.582,11258726700,,-0.31436151630181985,-0.0031485667010411654
2023-11-01,000300,沪深300,3605.758,3571.027,3606.413,3564.642,9764553800,,-0.041399510595641065,-0.000414080825589444
2023-11-02,000300,沪深300,3580.067,3554.189,3597.17,3553.741,9035964300,,-0.4715170173734351,-0.004726321656519246
2023-11-03,000300,沪深300,3558.53,3584.136,3596.101,3558.53,9754210100,,0.8425832165931624,0.008390532986790532
2023-11-06,000300,沪深300,3608.319,3632.608,3635.79,3600.63,15298246300,,1.3524040382396185,0.013433406788832161
2023-11-07,000300,沪深300,3623.785,3619.759,3628.462,3606.298,11028859100,,-0.35371281459491977,-0.003543398574281959
2023-11-08,000300,沪深300,3610.643,3611.072,3627.048,3591.825,11059423000,,-0.23998835281575648,-0.0024027678642698238
2023-11-09,000300,沪深300,3603.108,3612.826,3624.414,3601.374,11187205700,,0.048572833773463664,0.00048561040991130914
2023-11-10,000300,沪深300,3596.069,3586.489,3599.452,3576.101,10210703400,,-0.7289861177925516,-0.007316562058870457
2023-11-13,000300,沪深300,3593.911,3579.414,3599.39,3562.768,9670764900,,-0.19726813605172033,-0.001974629659062071
2023-11-14,000300,沪深300,3581.103,3582.058,3600.148,3568.882,10088415800,,0.07386683965586727,0.0007383957153310431
2023-11-15,000300,沪深300,3616.877,3607.245,3620.601,3596.916,10492921800,,0.7031432768537016,0.007006827517926517
2023-11-16,000300,沪深300,3600.981,3572.364,3605.29,3572.364,8746478000,,-0.9669706382571697,-0.009716761578992253
2023-11-17,000300,沪深300,3561.311,3568.069,3573.682,3547.029,8731920700,,-0.12022850974873212,-0.0012030084220348144
2023-11-20,000300,沪深300,3569.731,3576.323,3586.973,3545.104,9108044500,,0.23132960713483364,0.0023106245212557697
2023-11-21,000300,沪深300,3587.878,3581.067,3615.057,3575.682,10859431400,,0.13265021084505335,0.0013256230817966087
2023-11-22,000300,沪深300,3569.439,3544.416,3574.378,3544.416,8478438100,,-1.0234659111376554,-0.010287393354841615
2023-11-23,000300,沪深300,3541.442,3561.52,3562.068,3529.939,8480016700,,0.48256186632720244,0.004814012687895163
2023-11-24,000300,沪深300,3560.646,3538.009,3560.646,3533.996,8501840300,,-0.6601394910038416,-0.006623280487483424
2023-11-27,000300,沪深300,3534.445,3511.942,3534.445,3492.862,9910231400,,-0.736770313472912,-0.007394978714299012
2023-11-28,000300,沪深300,3510.655,3518.523,3521.046,3501.109,8933578900,,0.18738919947995925,0.0018721384494901076
2023-11-29,000300,沪深300,3518.884,3488.307,3519.198,3482.244,9884141200,,-0.8587694325147277,-0.00862478105101784
2023-11-30,000300,沪深300,3485.517,3496.203,3505.127,3481.452,10135082000,,0.22635622380713372,0.002261004240465791
2023-12-01,000300,沪深300,3494.223,3482.881,3494.223,3452.173,10853094100,,-0.3810419475070548,-0.0038176976177590185
2023-12-04,000300,沪深300,3481.045,3460.138,3488.133,3459.611,9715682600,,-0.6529938863831353,-0.006551352183964908
2023-12-05,000300,沪深300,3450.09,3394.257,3450.09,3393.814,10047200700,,-1.9039992046559928,-0.019223586859946455
2023-12-06,000300,沪深300,3387.88,3399.598,3420.277,3382.946,10580551900,,0.15735402475416382,0.0015723035302659502
2023-12-07,000300,沪深300,3394.306,3391.282,3404.407,3369.768,9771324800,,-0.24461715767569725,-0.002449168342514771
2023-12-08,000300,沪深300,3391.859,3399.462,3409.385,3383.448,12952205400,,0.24120671769554125,0.002409162812333163
2023-12-11,000300,沪深300,3378.052,3419.455,3426.611,3346.89,13962624900,,0.5881224734972657,0.005863997843262359
2023-12-12,000300,沪深300,3409.998,3426.803,3427.546,3406.101,10559001300,,0.21488804502471925,0.0021465749089500967
2023-12-13,000300,沪深300,3418.641,3369.605,3418.641,3369.605,9528536700,,-1.669135926401366,-0.01683222974761668
2023-12-14,000300,沪深300,3387.385,3351.964,3399.139,3350.765,8365513500,,-0.5235331737696303,-0.005249084106706944
